fire,first,last,final_ha,ws_max,ws_p90,rmin_min,tmax_max,dry_days,windy_days_gt20
7440 GREENWATER,2006-09-10,2006-09-10,78,17.3,15.2,30,19.8,4,0
AMERICAN,2017-09-19,2017-09-19,1557,22.2,21.6,31,12.5,1,2
CARBON COPY,2006-08-31,2006-08-31,111,20.9,19.9,28,22.8,2,1
LOST LAKE,2011-07-21,2011-07-21,105,17.3,17.1,48,15.5,3,0
MIRIAM,2018-09-09,2018-09-09,2136,13.9,13.3,26,20.9,4,0
NORSE PEAK,2017-09-19,2017-09-19,20713,22.2,21.6,31,12.5,1,2
RATTLESNAKE PEAK,2004-08-16,2004-08-16,260,11.6,10.7,32,26.8,3,0
TWIN PEAKS,2010-02-07,2010-02-07,268,24.5,23.2,58,3.3,0,2
UNION CREEK,2017-08-27,2017-08-27,144,13.3,12.4,19,25.8,4,0
WRONG CREEK,2018-09-09,2018-09-09,166,13.9,13.3,26,20.9,4,0
DOG CREEK,2001-12-30,2001-12-30,227,26,23.2,64,-0.3,2,1
000096,2011-07-21,2011-07-21,105,17.3,17.1,48,15.5,3,0
000553,2004-08-11,2011-07-26,305,57.9,28.7,15,27.3,1264,661
7440 GREENWATER,2006-09-07,2006-09-10,89,17.3,14.9,26,23.3,7,0
CARBON COPY,2006-08-22,2006-08-31,112,20.9,17.1,27,24.9,11,1
TWIN PEAKS,2010-02-07,2010-02-07,268,24.5,23.2,58,3.3,0,2
000444,2010-10-20,2012-02-09,3999,46.6,31.8,16,25.2,209,154
YAKIMA COMPLEX,2012-09-19,2012-09-23,62,10.6,10.5,14,24.5,8,0
LOST RIDGE,2014-08-13,2014-08-20,105,14.8,13.8,22,26.4,8,0
AMERICAN,2017-08-27,2017-12-19,1557,49,28.8,13,26.9,55,36
NORSE PEAK,2017-08-13,2017-09-19,20872,22.2,15.6,16,27.3,34,2
UNION CREEK,2017-08-27,2017-08-27,144,13.3,12.4,19,25.8,4,0
MIRIAM,2018-08-03,2018-09-09,2136,18.3,16.1,18,28.2,35,0
WRONG CREEK,2018-07-26,2018-09-09,166,18.3,15.5,18,28.2,43,0
