year,fires,lightning,human,cells,largest
1992,67,22,45,68,2
1993,29,1,28,30,2
1994,64,44,20,65,2
1995,32,17,15,53,12
1996,13,1,12,13,1
1997,15,7,8,15,1
1998,57,28,29,208,116
1999,36,8,28,38,2
2000,25,0,25,25,1
2001,30,4,26,300,270
2002,32,10,22,37,3
2003,48,23,25,413,160
2004,59,47,12,479,390
2005,15,0,15,15,1
2006,40,5,35,416,140
2007,30,11,19,931,849
2008,15,3,12,33,10
2009,69,40,29,845,600
2010,24,6,18,84,50
2011,21,0,21,21,1
2012,34,15,19,190,151
2013,35,20,15,38,4
2014,34,14,20,65,31
2015,18,7,11,18,1
2016,25,1,24,25,1
2017,41,13,28,28592,26008
2018,51,16,35,3050,2712
2019,26,7,19,26,1
2020,30,5,25,313,282
