year,doy,cause,size_ha,size_cells,fire_name,nwcg_general_cause
2005,155,Human,0.0404686,1,CLEARWEST PEAK,Recreation and ceremony
2005,184,Human,0.0404686,1,YA'LL,Recreation and ceremony
2005,200,Human,0.0404686,1,MINERS GULCH,Recreation and ceremony
2005,218,Human,0.0404686,1,VIOLA CREEK,Fireworks
2005,224,Human,0.0404686,1,SKATE CREEK,Recreation and ceremony
2005,239,Human,0.0404686,1,SNYDER CREEK,Recreation and ceremony
2005,211,Human,0.607029,1,BUMPING RIVER,Missing data/not specified/undetermined
2005,234,Human,0.0404686,1,LONGMIRE,Smoking
2005,226,Human,0.0404686,1,RIMROCK,Recreation and ceremony
2005,209,Human,1.011715,1,SOUTH FORK TIETON,Arson/incendiarism
2005,240,Human,0.0404686,1,BEAR CREEK,Smoking
2005,226,Human,0.0404686,1,RICHMOND,Fireworks
2006,218,Human,0.607029,1,GLACIER VIEW,Smoking
2006,246,Human,0.0404686,1,KINCAID,Smoking
2006,258,Human,0.0404686,1,CORA,Smoking
2006,253,Human,0.607029,1,BERRY CREEK,Recreation and ceremony
2006,253,Human,0.0404686,1,CEDARBROOK,Recreation and ceremony
2006,237,Human,0.0404686,1,CARLTON,Recreation and ceremony
2006,239,Human,0.0404686,1,DUFF,Smoking
2006,246,Human,0.0404686,1,ROCK,Fireworks
2006,185,Lightning,0.0404686,1,GRANITE,Natural
2006,186,Lightning,0.0404686,1,FAWN CREEK,Natural
2006,190,Human,0.0404686,1,INDIAN CREEK,Recreation and ceremony
2006,191,Lightning,0.1214058,1,MT. CLIFTY TRAIL,Natural
2006,219,Human,0.0404686,1,BACK LOOP,Recreation and ceremony
2006,221,Human,0.0404686,1,SADDLE,Recreation and ceremony
2006,227,Human,0.0809372,1,TP,Debris and open burning
2006,232,Human,0.0404686,1,OVERLOOK,Recreation and ceremony
2006,235,Human,0.0404686,1,ELEANOR CREEK,Smoking
2006,238,Human,0.0404686,1,PYRAMID,Recreation and ceremony
2006,245,Human,78.104398,96,GREENWATER 7440,Recreation and ceremony
2006,246,Human,0.404686,1,AIRSTRIP,Missing data/not specified/undetermined
2006,249,Human,0.0404686,1,SMALL CHANGE,Recreation and ceremony
2006,275,Human,0.0404686,1,ANTHILL,Missing data/not specified/undetermined
2006,248,Human,0.0404686,1,MILLER STUMP,Recreation and ceremony
2006,289,Human,0.0404686,1,TWIN  TOWERS,Recreation and ceremony
2006,202,Lightning,0.0404686,1,LOOKOUT CREEK,Natural
2006,235,Human,0.0404686,1,AMERICAN RIVER,Missing data/not specified/undetermined
2006,255,Human,0.0404686,1,UPPER NILE,Recreation and ceremony
2006,273,Human,0.4451546,1,CLEAR LAKE,Missing data/not specified/undetermined
2007,194,Lightning,0.0404686,1,CHIMNEY CREEK,Natural
2007,248,Human,0.0404686,1,JOHNSON,Smoking
2007,220,Human,0.0404686,1,JODY'S,Recreation and ceremony
2007,261,Human,0.0404686,1,LITTLE TIJUANA,Recreation and ceremony
2007,233,Human,0.0404686,1,SILV. SPG TOOL SHED,Recreation and ceremony
2007,237,Human,0.0404686,1,ARMY CAMP,Recreation and ceremony
2007,148,Human,0.41277972,1,NILE CREEK,Missing data/not specified/undetermined
2007,153,Lightning,0.0202343,1,FOX,Natural
2007,161,Human,0.00404686,1,DOG LAKE,Recreation and ceremony
2007,174,Human,0.0404686,1,TIETON ROAD,Recreation and ceremony
2007,270,Human,0.00404686,1,SHEEP LAKE,Recreation and ceremony
2007,262,Human,0.202343,1,CANNON ROAD,Smoking
2007,194,Lightning,0.00404686,1,RAVENS ROOST,Natural
2007,196,Lightning,0.0404686,1,PLEASENT VALLEY,Natural
2007,201,Human,0.00404686,1,INDIAN FLAT,Recreation and ceremony
2007,204,Human,0.0404686,1,JUNGLE CREEK,Recreation and ceremony
2007,219,Lightning,0.00404686,1,LITTLE SISTER,Natural
2007,246,Human,0.07689034,1,BEAR COVE,Missing data/not specified/undetermined
2007,253,Human,0.00404686,1,GREEN PASS,Missing data/not specified/undetermined
2007,311,Human,0.0404686,1,BERRY CAMP,Fireworks
2007,217,Lightning,0.00404686,1,TUMAC,Natural
