statistic,value
years,29
active_cells,491550
fires_per_year,35
lightning_fires_per_year,12.9310344827586
human_fires_per_year,22.0689655172414
cells_per_year_mean,1255.37931034483
cells_per_year_median,65
cells_per_year_p90,862.2
cells_per_year_max,28592
annual_fraction_burned,0.00255391986643236
rotation_years,391.55496346756
fire_size_median,1
fire_size_p90,1
fire_size_max,26008
fraction_fires_gt10,0.0295566502463054
fraction_fires_gt100,0.0167487684729064
fraction_area_in_fires_gt100,0.955556776355546
discovery_doy_p10,176
discovery_doy_median,221
discovery_doy_p90,265
