statistic,value_observed,value_scf
years,29,80
active_cells,491550,491550
fires_per_year,35,30.95
lightning_fires_per_year,12.9310344827586,5.8
human_fires_per_year,22.0689655172414,25.15
cells_per_year_mean,1255.37931034483,
cells_per_year_median,65,
cells_per_year_p90,862.2,
cells_per_year_max,28592,
annual_fraction_burned,0.00255391986643236,
rotation_years,391.55496346756,
fire_size_median,1,10
fire_size_p90,1,124
fire_size_max,26008,7541
fraction_fires_gt10,0.0295566502463054,0.476171243941842
fraction_fires_gt100,0.0167487684729064,0.112681744749596
fraction_area_in_fires_gt100,0.955556776355546,0.914894868558961
discovery_doy_p10,176,60.5
discovery_doy_median,221,214
discovery_doy_p90,265,295
