fire,date,area_ha,year,area_cum,growth_ha,days_since_prev,growth_ha_per_day
7440 GREENWATER,2006-09-10,78.1433224988596,2000,78.1433224988596,78.1433224988596,,78.1433224988596
AMERICAN,2017-09-19,1556.84814935531,2000,1556.84814935531,1556.84814935531,,1556.84814935531
BOULDER CREEK,2012-02-09,24.8184669709992,2000,24.8184669709992,24.8184669709992,,24.8184669709992
CARBON COPY,2006-08-31,111.192853634593,2000,111.192853634593,111.192853634593,,111.192853634593
CLEAR FORK,2018-09-09,48.9844887115915,2000,48.9844887115915,48.9844887115915,,48.9844887115915
CROW CREEK,2007-08-06,46.3725942006583,2000,46.3725942006583,46.3725942006583,,46.3725942006583
FAN LAKE,2018-08-24,5.90096192378478,2000,5.90096192378478,5.90096192378478,,5.90096192378478
FATHERS DAY,2008-11-20,8.29163464538362,2000,8.29163464538362,8.29163464538362,,8.29163464538362
GOAT,2014-09-17,2.1979852490047,2000,2.1979852490047,2.1979852490047,,2.1979852490047
LOST LAKE,2011-07-21,105.121733719976,2000,105.121733719976,105.121733719976,,105.121733719976
LOST RIDGE,2014-08-20,24.9645623459503,2000,24.9645623459503,24.9645623459503,,24.9645623459503
MEEKS TABLE,2015-09-20,37.8821926762552,2000,37.8821926762552,37.8821926762552,,37.8821926762552
MIRIAM,2018-09-09,2135.95922901383,2000,2135.95922901383,2135.95922901383,,2135.95922901383
NORSE PEAK,2017-09-19,20713.0130149096,2000,20713.0130149096,20713.0130149096,,20713.0130149096
RATTLESNAKE PEAK,2004-08-16,259.64118987761,2000,259.64118987761,259.64118987761,,259.64118987761
SAWMILL CREEK,2017-09-19,42.292469076885,2000,42.292469076885,42.292469076885,,42.292469076885
TWIN PEAKS,2010-02-07,267.985296597099,2000,267.985296597099,267.985296597099,,267.985296597099
UNION CREEK,2017-08-27,143.541796921966,2000,143.541796921966,143.541796921966,,143.541796921966
WRONG CREEK,2018-09-09,166.45578177256,2000,166.45578177256,166.45578177256,,166.45578177256
DOG CREEK,2001-12-30,227.059019636198,2001,227.059019636198,227.059019636198,,227.059019636198
000096,2011-07-21,105.121732153188,2003,105.121732153188,105.121732153188,,105.121732153188
000553,2004-08-11,224.116005340505,2004,224.116005340505,224.116005340505,,224.116005340505
000553,2004-08-16,259.641189728574,2004,259.641189728574,35.5251843880694,5,7.10503687761388
000553,2011-07-26,304.668579933103,2004,304.668579933103,45.0273902045287,2535,0.0177622841043506
7440 GREENWATER,2006-09-07,80.1612517092433,2006,80.1612517092433,80.1612517092433,,80.1612517092433
7440 GREENWATER,2006-09-08,88.6413849885302,2006,88.6413849885302,8.48013327928695,1,8.48013327928695
7440 GREENWATER,2006-09-10,78.1433204001306,2006,88.6413849885302,0,2,0
CARBON COPY,2006-08-22,65.246161303265,2006,65.246161303265,65.246161303265,,65.246161303265
CARBON COPY,2006-08-24,61.8835237448115,2006,65.246161303265,0,2,0
CARBON COPY,2006-08-28,111.650462304854,2006,111.650462304854,46.4043010015893,4,11.6010752503973
CARBON COPY,2006-08-31,111.192853728567,2006,111.650462304854,0,3,0
CROW CREEK,2007-08-04,32.7730540424863,2007,32.7730540424863,32.7730540424863,,32.7730540424863
CROW CREEK,2007-08-06,46.3725952218568,2007,46.3725952218568,13.5995411793704,2,6.79977058968522
LANGILLE,2009-07-30,11.0208181375802,2009,11.0208181375802,11.0208181375802,,11.0208181375802
TWIN PEAKS,2010-02-07,267.985296597099,2009,267.985296597099,267.985296597099,,267.985296597099
000444,2010-10-20,24.8184640481535,2010,24.8184640481535,24.8184640481535,,24.8184640481535
000444,2010-12-01,3998.99139782903,2010,3998.99139782903,3974.17293378088,42,94.6231650900208
