year,cells_burned,cells_low,cells_moderate,cells_high,mean_dnbr_burned
1992,0,0,0,0,
1993,0,0,0,0,
1994,0,0,0,0,
1995,0,0,0,0,
1996,0,0,0,0,
1997,0,0,0,0,
1998,0,0,0,0,
1999,0,0,0,0,
2000,0,0,0,0,
2001,0,0,0,0,
2002,0,0,0,0,
2003,0,0,0,0,
2004,0,0,0,0,
2005,0,0,0,0,
2006,0,0,0,0,
2007,589,337,193,59,282.275042444822
2008,0,0,0,0,
2009,0,0,0,0,
2010,0,0,0,0,
2011,0,0,0,0,
2012,0,0,0,0,
2013,0,0,0,0,
2014,0,0,0,0,
2015,186,173,13,0,196.881720430108
2016,0,0,0,0,
2017,23294,6505,5654,11135,424.641323946091
2018,2403,1116,746,541,331.20682480233
2019,0,0,0,0,
2020,0,0,0,0,
2021,29451,9477,7599,12375,403.242334725474
2022,3116,1825,675,616,303.867137355584
2023,0,0,0,0,
2024,0,0,0,0,
