statistic,value,label
ignition_attempts_per_year,0.6,pass1
fires_per_attempt,0.458333333333333,pass1
days_active_median,10,pass1
days_active_p90,22,pass1
days_active_max,55,pass1
mean_ros_median_m_min,1.79,pass1
max_ros_p90_m_min,26.69,pass1
mean_intensity_median_kW_m,334,pass1
max_intensity_p90_kW_m,43008,pass1
fraction_cells_passive_crown,0.0597715201079167,pass1
fraction_cells_active_crown,0.00150577522974454,pass1
canopy_mortality_mean,0.0715892420537898,pass1
cells_per_fire_day_median,57,pass1
cells_per_fire_day_p90,212,pass1
burn_hours_median,10.8,pass1
ignition_fwi_median,18.6,pass1
end_weather,1,pass1
end_fuel_limited,0,pass1
end_season_end,0,pass1
