EventID,SimulationYear,Day,FWI,BurnHours,CellsBurned,CumulativeAreaHa,MaxRos,MaxIntensity,Suppressed,
1, 1, 242, 18.6, 8.2, 22, 17.8, 5.83, 1580, no, 
1, 1, 243, 22.4, 10.8, 89, 89.9, 5.85, 1016, no, 
1, 1, 244, 16.2, 6.6, 48, 128.8, 3.22, 962, no, 
1, 1, 245, 16.9, 7.1, 63, 179.8, 4.54, 792, no, 
1, 1, 246, 14.4, 5.4, 70, 236.5, 5.11, 885, no, 
1, 1, 247, 22, 10.6, 193, 392.9, 9.3, 2490, no, 
1, 1, 248, 25.6, 13, 184, 541.9, 14.48, 6645, no, 
1, 1, 249, 23.9, 11.9, 188, 694.2, 12.76, 8450, no, 
1, 1, 250, 35.2, 16, 296, 933.9, 16.86, 6339, no, 
1, 1, 251, 47, 16, 213, 1106.5, 14.39, 7884, no, 
2, 1, 251, 45.3, 16, 97, 78.6, 9.62, 1762, no, 
1, 1, 252, 35.3, 16, 107, 1193.1, 7.89, 2636, no, 
2, 1, 252, 33.7, 16, 47, 116.6, 6.87, 1557, no, 
1, 1, 253, 26.6, 13.7, 68, 1248.2, 18.34, 5917, no, 
2, 1, 253, 25.7, 13, 39, 148.2, 8.31, 2520, no, 
1, 1, 254, 28.3, 14.8, 70, 1304.9, 10.39, 2768, no, 
2, 1, 254, 25.2, 12.7, 130, 253.5, 6.85, 2080, no, 
1, 1, 255, 26.2, 13.4, 28, 1327.6, 10.21, 2958, no, 
2, 1, 255, 23.6, 11.7, 144, 370.2, 6.89, 1976, no, 
1, 1, 256, 27.4, 14.2, 35, 1355.9, 6.97, 1433, no, 
2, 1, 256, 24.7, 12.4, 193, 526.5, 8.34, 3640, no, 
1, 1, 257, 27.2, 14.1, 14, 1367.3, 7.68, 980, no, 
2, 1, 257, 23.5, 11.5, 82, 592.9, 9.96, 3065, no, 
1, 1, 258, 23.7, 11.7, 10, 1375.4, 8.92, 1201, no, 
2, 1, 258, 20.8, 9.7, 69, 648.8, 5.96, 1344, no, 
1, 1, 259, 25.6, 13, 3, 1377.8, 6.96, 2665, no, 
2, 1, 259, 22.1, 10.6, 57, 695, 2.12, 308, no, 
1, 1, 260, 24.7, 12.4, 1, 1378.6, 0.56, 17, no, 
2, 1, 260, 21.6, 10.3, 51, 736.3, 3.47, 515, no, 
1, 1, 261, 23.8, 11.8, 10, 1386.7, 2.42, 367, no, 
2, 1, 261, 20.8, 9.7, 31, 761.4, 3.08, 341, no, 
3, 4, 245, 24.7, 12.4, 8, 6.5, 1.39, 166, no, 
3, 4, 246, 22, 10.6, 11, 15.4, 1.16, 242, no, 
3, 4, 247, 19.9, 9.1, 20, 31.6, 1.71, 222, no, 
3, 4, 248, 19.9, 9.1, 25, 51.8, 2.07, 400, no, 
4, 4, 248, 23.1, 11.3, 19, 15.4, 2.16, 284, no, 
3, 4, 249, 20.9, 9.8, 14, 63.2, 1.59, 155, no, 
4, 4, 249, 23.2, 11.3, 24, 34.8, 4.35, 659, no, 
3, 4, 250, 25.1, 12.6, 40, 95.6, 1.08, 144, no, 
4, 4, 250, 26.4, 13.6, 91, 108.5, 3.34, 714, no, 
3, 4, 251, 22.1, 10.6, 15, 107.7, 1.06, 112, no, 
4, 4, 251, 24.4, 12.2, 50, 149, 4.67, 466, no, 
3, 4, 252, 15.8, 6.3, 2, 109.4, 1, 93, no, 
4, 4, 252, 18.9, 8.4, 4, 152.3, 0.78, 39, no, 
