EventID,SimulationYear,CalendarYear,Cause,IgnitionDay,IgnitionRow,IgnitionColumn,Ecoregion,IgnitionFWI,DaysActive,EndDay,EndReason,Cells,AreaHa,MeanRos,MaxRos,MeanIntensity,MaxIntensity,MaxFlameLength,FractionSurface,FractionPassive,FractionActive,MeanCanopyMortality,FractionHighSeverity,CohortsKilled,CohortsPartial,BiomassKilledMg,ConsumptionMg,SurfaceConsumptionMg,DuffConsumptionMg,CanopyConsumptionMg,PM25Mg,CO2Mg,PeakDay,PeakDayFWI,
2, 1, 2020, Accidental, 251, 409, 422, eco110, 45.3, 13, 263, Weather, 940, 761.4, 1.96, 9.96, 310, 3640, 3.4, 0.99, 0.01, 0, 0.07, 0, 240, 13051, 7205.5, 45390.6, 35321.6, 10046, 23.1, 1019.23, 67213.4, 261, 20.8, 
1, 1, 2020, Lightning, 242, 422, 391, eco16, 18.6, 22, 263, Weather, 1712, 1386.7, 2.05, 18.34, 339, 8450, 5, 0.99, 0.01, 0, 0.08, 0, 416, 19272, 11016.1, 71843.1, 59017.2, 12777.5, 48.4, 1594.02, 106712.7, 261, 23.8, 
3, 4, 2020, Accidental, 245, 329, 428, eco39, 24.7, 10, 254, Weather, 135, 109.4, 0.65, 2.07, 67, 400, 1.2, 0.92, 0.08, 0, 0.05, 0, 17, 3014, 1855.3, 7002.2, 5235.5, 1742.5, 24.2, 163.83, 10255.5, 252, 15.8, 
4, 4, 2020, Lightning, 248, 411, 429, eco16, 23.1, 15, 262, Weather, 243, 196.8, 1.03, 4.67, 103, 714, 1.6, 0.94, 0.06, 0, 0.04, 0, 30, 4477, 2128.2, 6651, 5051.1, 1567.3, 32.5, 146.14, 9903.6, 260, 21.4, 
5, 10, 2020, Accidental, 162, 329, 413, eco39, 7.9, 2, 163, Weather, 1, 0.8, 1.74, 1.74, 238, 238, 1, 1, 0, 0, 0.06, 0, 0, 39, 23.9, 33.5, 33.5, 0, 0, 0.68, 50.9, 0, 0, 
6, 16, 2020, Lightning, 145, 420, 388, eco16, 11.1, 5, 149, Weather, 33, 26.7, 2.9, 8.18, 608, 4737, 3.8, 0.73, 0.27, 0, 0.08, 0, 21, 583, 528.7, 841.3, 792.9, 0, 48.4, 15.86, 1297.7, 147, 9, 
7, 17, 2020, Accidental, 250, 373, 392, eco17, 30.8, 14, 263, Weather, 1530, 1239.3, 2.26, 35.71, 759, 43444, 32.9, 0.87, 0.11, 0.01, 0.09, 0.01, 1235, 31684, 33477.1, 78561.3, 63292.6, 13333.3, 1935.4, 1768.26, 116259.9, 261, 21.2, 
8, 22, 2020, Accidental, 197, 403, 429, eco16, 17.6, 6, 202, Weather, 256, 207.4, 2.75, 19.97, 702, 27279, 24.1, 0.92, 0.07, 0.01, 0.06, 0.01, 141, 4691, 4199.9, 7605, 7376.9, 0, 228.1, 146, 11686, 200, 24.2, 
9, 22, 2020, Accidental, 216, 408, 424, eco110, 11.2, 5, 220, Weather, 4, 3.2, 1.18, 1.94, 169, 316, 1.1, 1, 0, 0, 0.06, 0, 1, 42, 48.5, 109, 109, 0, 0, 2.15, 166.4, 218, 12.4, 
10, 31, 2020, Lightning, 267, 341, 427, eco14, 23.7, 8, 274, Weather, 830, 672.3, 1.79, 7.34, 340, 5630, 4.1, 0.89, 0.11, 0, 0.05, 0, 325, 16378, 13995.8, 57589.9, 45072.8, 11844.4, 672.6, 1324.13, 84746.9, 272, 29.6, 
11, 35, 2020, Accidental, 205, 351, 413, eco14, 11.8, 55, 259, Weather, 6177, 5003.4, 1.76, 26.69, 334, 43008, 32.7, 0.94, 0.06, 0, 0.07, 0, 2974, 121185, 122509.2, 276669.1, 242975.8, 30712.6, 2980.6, 6045.42, 412549.6, 257, 11.8, 
