statistic,observed,ember,ratio,label
fires_per_year,0.665466381853321,0.275,0.41324401577451,pass1
lightning_fires_per_year,0.245861963738911,0.1,0.406732291889579,pass1
fire_size_median,1,256,256,pass1
fire_size_p90,1,1712,1712,pass1
fraction_fires_gt10,0.0295566502463054,0.818181818181818,27.6818181818182,pass1
fraction_fires_gt100,0.0167487684729064,0.727272727272727,43.4224598930481,pass1
annual_fraction_burned_fpa,0.00255391986643236,0.0317274769955061,12.4230510958933,pass1
annual_fraction_burned_mtbs,0.003639630975609,0.0317274769955061,8.71722358890995,pass1
ignition_doy_median,221,242,1.09502262443439,pass1
ignition_doy_p10,176,162,0.920454545454545,pass1
ignition_doy_p90,265,251,0.947169811320755,pass1
fraction_area_high_severity_mtbs,0.418807906637985,0.00150577522974454,0.00359538395975443,pass1
