statistic,value_scf,value_ember,ratio,label
years,80,40,0.5,pass1
active_cells,9346,9346,1,pass1
cells_per_year_mean,78.2125,296.525,3.79127377337382,pass1
cells_per_year_median,0,0,,pass1
cells_per_year_p90,59.8000000000002,423.200000000001,7.07692307692306,pass1
cells_per_year_max,1328,6177,4.65135542168675,pass1
fraction_years_with_fire,0.3875,0.2,0.516129032258065,pass1
annual_fraction_burned,0.00836855339182538,0.0317274769955061,3.79127377337382,pass1
rotation_years,119.494965638485,31.5184217182362,0.263763594975128,pass1
fires_per_year,0.4875,0.275,0.564102564102564,pass1
fire_size_median,12,256,21.3333333333333,pass1
fire_size_p90,621.400000000001,1712,2.75506919858384,pass1
fire_size_max,1283,6177,4.81449727201871,pass1
fraction_fires_gt10,0.512820512820513,0.818181818181818,1.59545454545455,pass1
fraction_fires_gt100,0.17948717948718,0.727272727272727,4.05194805194804,pass1
