statistic,value,label
ignition_attempts_per_year,0.775,pass2a
fires_per_attempt,0.290322580645161,pass2a
days_active_median,4,pass2a
days_active_p90,25,pass2a
days_active_max,37,pass2a
mean_ros_median_m_min,0.9,pass2a
max_ros_p90_m_min,10.516,pass2a
mean_intensity_median_kW_m,93,pass2a
max_intensity_p90_kW_m,7327.19999999999,pass2a
fraction_cells_passive_crown,0.0428218694885362,pass2a
fraction_cells_active_crown,0,pass2a
canopy_mortality_mean,0.0720340975896532,pass2a
cells_per_fire_day_median,12,pass2a
cells_per_fire_day_p90,51.7,pass2a
burn_hours_median,7.3,pass2a
ignition_fwi_median,17.6,pass2a
end_weather,1,pass2a
end_fuel_limited,0,pass2a
end_season_end,0,pass2a
