EventID,SimulationYear,Day,FWI,BurnHours,CellsBurned,CumulativeAreaHa,MaxRos,MaxIntensity,Suppressed,
1, 1, 242, 18.6, 4.5, 3, 2.4, 0.83, 93, no, 
1, 1, 243, 22.4, 6.6, 13, 13, 6.83, 1543, no, 
1, 1, 244, 16.2, 3.2, 4, 16.2, 2.01, 147, no, 
1, 1, 245, 16.9, 3.6, 5, 20.3, 1.74, 142, no, 
1, 1, 246, 14.4, 2.3, 5, 24.3, 2.86, 293, no, 
1, 1, 247, 22, 6.4, 31, 49.4, 5.63, 463, no, 
1, 1, 248, 25.6, 8.3, 58, 96.4, 3.5, 796, no, 
1, 1, 249, 23.9, 7.4, 36, 125.6, 3.45, 562, no, 
1, 1, 250, 35.2, 13.4, 167, 260.8, 4.89, 1062, no, 
1, 1, 251, 47, 16, 252, 464.9, 5.92, 1316, no, 
1, 1, 252, 35.3, 13.5, 134, 573.5, 4.7, 833, no, 
1, 1, 253, 26.6, 8.8, 51, 614.8, 3.87, 595, no, 
1, 1, 254, 28.3, 9.7, 41, 648, 2.95, 601, no, 
1, 1, 255, 26.2, 8.6, 21, 665, 4.55, 837, no, 
1, 1, 256, 27.4, 9.2, 20, 681.2, 2.75, 399, no, 
1, 1, 257, 27.2, 9.1, 21, 698.2, 6.32, 999, no, 
1, 1, 258, 23.7, 7.3, 16, 711.2, 1.99, 613, no, 
1, 1, 259, 25.6, 8.3, 25, 731.4, 4.87, 927, no, 
1, 1, 260, 24.7, 7.8, 25, 751.7, 9.31, 3486, no, 
1, 1, 261, 23.8, 7.3, 24, 771.1, 4.83, 1303, no, 
2, 2, 210, 7.8, 0, 1, 0.8, 0, 0, no, 
3, 2, 215, 22.8, 6.8, 5, 4.1, 0.94, 71, no, 
4, 10, 213, 19.5, 5, 3, 2.4, 1.26, 141, no, 
4, 10, 214, 18.8, 4.7, 2, 4.1, 0.74, 68, no, 
5, 13, 221, 28, 9.6, 9, 7.3, 1.02, 102, no, 
5, 13, 222, 28, 9.6, 13, 17.8, 2.51, 1162, no, 
5, 13, 223, 20.2, 5.4, 4, 21.1, 0.92, 97, no, 
5, 13, 224, 23.1, 7, 8, 27.5, 2.82, 384, no, 
5, 13, 225, 22.5, 6.6, 12, 37.3, 15.34, 22692, no, 
5, 13, 226, 17.9, 4.2, 2, 38.9, 0.96, 69, no, 
5, 13, 228, 19.5, 5, 1, 39.7, 1.31, 143, no, 
5, 13, 229, 24.4, 7.6, 10, 47.8, 1.51, 120, no, 
5, 13, 230, 29.4, 10.3, 10, 55.9, 1.78, 585, no, 
5, 13, 231, 30.6, 10.9, 16, 68.9, 2.61, 347, no, 
5, 13, 232, 22.7, 6.7, 9, 76.1, 2.69, 376, no, 
5, 13, 233, 16.9, 3.6, 1, 77, 1.02, 109, no, 
5, 13, 234, 20.3, 5.4, 3, 79.4, 0.49, 40, no, 
5, 13, 235, 20.1, 5.3, 2, 81, 0.68, 32, no, 
5, 13, 236, 19.7, 5.1, 2, 82.6, 0.8, 35, no, 
5, 13, 237, 24.2, 7.6, 9, 89.9, 2.3, 345, no, 
5, 13, 238, 28.9, 10.1, 14, 101.3, 2.01, 273, no, 
5, 13, 239, 30.8, 11.1, 27, 123.1, 3.2, 1279, no, 
5, 13, 240, 16.4, 3.4, 2, 124.7, 0.81, 105, no, 
5, 13, 242, 20, 5.3, 4, 128, 1.17, 125, no, 
5, 13, 243, 32.5, 12, 25, 148.2, 2.81, 537, no, 
5, 13, 244, 27.6, 9.3, 17, 162, 4.34, 2037, no, 
5, 13, 245, 32.6, 12.1, 31, 187.1, 4.82, 2532, no, 
5, 13, 246, 38.3, 15.1, 75, 247.9, 6.33, 1621, no, 
5, 13, 247, 21.4, 6, 2, 249.5, 0.52, 31, no, 
5, 13, 248, 18.6, 4.6, 3, 251.9, 0.8, 47, no, 
5, 13, 249, 17.9, 4.2, 2, 253.5, 1.02, 63, no, 
5, 13, 250, 33.2, 12.4, 41, 286.7, 3.75, 625, no, 
5, 13, 251, 30.1, 10.7, 21, 303.8, 2.58, 333, no, 
5, 13, 252, 37.4, 14.6, 86, 373.4, 2.61, 718, no, 
5, 13, 253, 41.9, 16, 91, 447.1, 2.62, 1355, no, 
5, 13, 254, 30.8, 11.1, 26, 468.2, 2.84, 339, no, 
5, 13, 255, 28.3, 9.7, 12, 477.9, 2.45, 337, no, 
6, 17, 225, 17.6, 4, 1, 0.8, 0, 0, no, 
6, 17, 226, 15.3, 2.8, 1, 1.6, 0.96, 129, no, 
6, 17, 227, 17.7, 4.1, 2, 3.2, 1.1, 123, no, 
6, 17, 228, 25.3, 8.1, 16, 16.2, 2.21, 523, no, 
6, 17, 229, 26.7, 8.8, 42, 50.2, 2.81, 393, no, 
6, 17, 230, 25.2, 8.1, 38, 81, 3.2, 800, no, 
6, 17, 231, 22.9, 6.8, 15, 93.2, 2.07, 237, no, 
6, 17, 232, 24.6, 7.8, 27, 115, 2.29, 681, no, 
6, 17, 233, 21, 5.8, 2, 116.6, 1.19, 80, no, 
7, 34, 267, 10.8, 0, 1, 0.8, 0, 0, no, 
7, 34, 268, 16.3, 3.3, 1, 1.6, 1.67, 166, no, 
8, 35, 178, 8.6, 0, 1, 0.8, 0, 0, no, 
9, 36, 208, 10.3, 0, 1, 0.8, 0, 0, no, 
