SimulationYear,Day,FireDanger,LightningAttempts,LightningFires,AccidentalAttempts,AccidentalFires,ActiveFires,
1, 242, 16.3, 1, 1, 0, 0, 1, 
1, 243, 19.2, 0, 0, 0, 0, 1, 
1, 244, 13.1, 0, 0, 0, 0, 1, 
1, 245, 13.6, 0, 0, 0, 0, 1, 
1, 246, 12.5, 0, 0, 0, 0, 1, 
1, 247, 19.3, 0, 0, 0, 0, 1, 
1, 248, 22.3, 0, 0, 0, 0, 1, 
1, 249, 20.9, 0, 0, 0, 0, 1, 
1, 250, 30.3, 0, 0, 0, 0, 1, 
1, 251, 43.2, 0, 0, 0, 0, 1, 
1, 252, 33, 0, 0, 0, 0, 1, 
1, 253, 25.1, 0, 0, 0, 0, 1, 
1, 254, 25.8, 0, 0, 0, 0, 1, 
1, 255, 23.7, 0, 0, 0, 0, 1, 
1, 256, 24.3, 0, 0, 0, 0, 1, 
1, 257, 24, 0, 0, 0, 0, 1, 
1, 258, 20.8, 0, 0, 1, 0, 1, 
1, 259, 22.2, 0, 0, 0, 0, 1, 
1, 260, 21.6, 0, 0, 0, 0, 1, 
1, 261, 20, 0, 0, 0, 0, 1, 
1, 262, 0.9, 0, 0, 0, 0, 1, 
2, 210, 10.5, 0, 0, 1, 1, 1, 
2, 215, 18.7, 1, 1, 0, 0, 1, 
2, 216, 13.2, 0, 0, 0, 0, 1, 
2, 305, 3.2, 0, 0, 1, 0, 0, 
3, 232, 15.8, 0, 0, 1, 0, 0, 
4, 173, 0.5, 0, 0, 1, 0, 0, 
4, 338, 0, 0, 0, 1, 0, 0, 
7, 19, 1.9, 0, 0, 1, 0, 0, 
7, 263, 0.4, 0, 0, 1, 0, 0, 
8, 91, 0.4, 0, 0, 1, 0, 0, 
10, 213, 15.6, 0, 0, 1, 1, 1, 
10, 214, 13.8, 0, 0, 0, 0, 1, 
10, 215, 4.9, 0, 0, 0, 0, 1, 
13, 221, 25.2, 1, 1, 0, 0, 1, 
13, 222, 25.7, 0, 0, 0, 0, 1, 
13, 223, 18.2, 0, 0, 0, 0, 1, 
13, 224, 20.9, 0, 0, 0, 0, 1, 
13, 225, 19.8, 0, 0, 0, 0, 1, 
13, 226, 16.2, 0, 0, 0, 0, 1, 
13, 227, 16, 0, 0, 0, 0, 1, 
13, 228, 18.3, 0, 0, 0, 0, 1, 
13, 229, 22.3, 0, 0, 0, 0, 1, 
13, 230, 28.3, 0, 0, 0, 0, 1, 
13, 231, 28.8, 0, 0, 0, 0, 1, 
13, 232, 20.9, 0, 0, 0, 0, 1, 
13, 233, 12.9, 0, 0, 0, 0, 1, 
13, 234, 16.9, 0, 0, 0, 0, 1, 
13, 235, 17.7, 0, 0, 0, 0, 1, 
13, 236, 17.4, 0, 0, 0, 0, 1, 
13, 237, 22.2, 0, 0, 0, 0, 1, 
13, 238, 26.3, 0, 0, 0, 0, 1, 
13, 239, 27.1, 0, 0, 0, 0, 1, 
13, 240, 15.3, 0, 0, 0, 0, 1, 
13, 241, 14.1, 0, 0, 0, 0, 1, 
13, 242, 18.5, 0, 0, 0, 0, 1, 
13, 243, 30.7, 0, 0, 0, 0, 1, 
13, 244, 26.4, 0, 0, 0, 0, 1, 
13, 245, 30.8, 0, 0, 0, 0, 1, 
13, 246, 35.8, 0, 0, 0, 0, 1, 
13, 247, 19, 0, 0, 0, 0, 1, 
13, 248, 17.1, 0, 0, 0, 0, 1, 
13, 249, 16.7, 0, 0, 0, 0, 1, 
13, 250, 31.5, 0, 0, 0, 0, 1, 
13, 251, 28.8, 0, 0, 0, 0, 1, 
13, 252, 35, 0, 0, 0, 0, 1, 
13, 253, 41, 0, 0, 0, 0, 1, 
13, 254, 30.5, 0, 0, 0, 0, 1, 
13, 255, 26.7, 0, 0, 0, 0, 1, 
13, 256, 10.5, 0, 0, 0, 0, 1, 
15, 313, 0, 1, 0, 0, 0, 0, 
17, 225, 15.6, 0, 0, 1, 1, 1, 
17, 226, 13.8, 0, 0, 0, 0, 1, 
17, 227, 15.8, 0, 0, 0, 0, 1, 
17, 228, 22.8, 0, 0, 0, 0, 1, 
17, 229, 23.7, 0, 0, 0, 0, 1, 
17, 230, 22.6, 0, 0, 0, 0, 1, 
17, 231, 19.9, 0, 0, 0, 0, 1, 
17, 232, 22.6, 0, 0, 0, 0, 1, 
17, 233, 17.6, 0, 0, 0, 0, 1, 
17, 234, 0.1, 0, 0, 0, 0, 1, 
20, 118, 0.1, 0, 0, 1, 0, 0, 
20, 346, 0.1, 0, 0, 1, 0, 0, 
22, 302, 0, 0, 0, 1, 0, 0, 
24, 68, 0, 0, 0, 1, 0, 0, 
28, 217, 11, 0, 0, 1, 0, 0, 
31, 140, 0, 0, 0, 1, 0, 0, 
31, 234, 4.4, 0, 0, 1, 0, 0, 
31, 241, 14, 0, 0, 1, 0, 0, 
33, 288, 0, 0, 0, 1, 0, 0, 
34, 267, 10.1, 0, 0, 1, 1, 1, 
34, 268, 16, 0, 0, 0, 0, 1, 
34, 269, 0.2, 0, 0, 0, 0, 1, 
35, 178, 9.2, 0, 0, 1, 1, 1, 
36, 208, 9.9, 0, 0, 1, 1, 1, 
37, 15, 0, 1, 0, 0, 0, 0, 
37, 64, 0, 0, 0, 1, 0, 0, 
39, 181, 0, 0, 0, 1, 0, 0, 
39, 284, 2, 0, 0, 1, 0, 0, 
