statistic,observed,ember,ratio,label
fires_per_year,0.665466381853321,0.225,0.338108740179145,pass2a
lightning_fires_per_year,0.245861963738911,0.075,0.305049218917184,pass2a
fire_size_median,1,5,5,pass2a
fire_size_p90,1,662.4,662.4,pass2a
fraction_fires_gt10,0.0295566502463054,0.333333333333333,11.2777777777778,pass2a
fraction_fires_gt100,0.0167487684729064,0.333333333333333,19.9019607843137,pass2a
annual_fraction_burned_fpa,0.00255391986643236,0.00455007489835224,1.78160441059897,pass2a
annual_fraction_burned_mtbs,0.003639630975609,0.00455007489835224,1.25014731681442,pass2a
ignition_doy_median,221,215,0.972850678733032,pass2a
ignition_doy_p10,176,202,1.14772727272727,pass2a
ignition_doy_p90,265,247,0.932075471698113,pass2a
fraction_area_high_severity_mtbs,0.418807906637985,0,0,pass2a
