statistic,value_scf,value_ember,ratio,label
years,80,40,0.5,pass2a
active_cells,9346,9346,1,pass2a
cells_per_year_mean,78.2125,42.525,0.543711043631133,pass2a
cells_per_year_median,0,0,,pass2a
cells_per_year_p90,59.8000000000002,5.1,0.0852842809364546,pass2a
cells_per_year_max,1328,952,0.716867469879518,pass2a
fraction_years_with_fire,0.3875,0.2,0.516129032258065,pass2a
annual_fraction_burned,0.00836855339182538,0.00455007489835224,0.543711043631133,pass2a
rotation_years,119.494965638485,219.776601998824,1.83921222810112,pass2a
fires_per_year,0.4875,0.225,0.461538461538462,pass2a
fire_size_median,12,5,0.416666666666667,pass2a
fire_size_p90,621.400000000001,662.4,1.06598004505954,pass2a
fire_size_max,1283,952,0.742010911925175,pass2a
fraction_fires_gt10,0.512820512820513,0.333333333333333,0.65,pass2a
fraction_fires_gt100,0.17948717948718,0.333333333333333,1.85714285714285,pass2a
