statistic,value,label
ignition_attempts_per_year,0.5,pass2b
fires_per_attempt,0.25,pass2b
days_active_median,1,pass2b
days_active_p90,3.8,pass2b
days_active_max,5,pass2b
mean_ros_median_m_min,0.91,pass2b
max_ros_p90_m_min,9.508,pass2b
mean_intensity_median_kW_m,70,pass2b
max_intensity_p90_kW_m,10789,pass2b
fraction_cells_passive_crown,0,pass2b
fraction_cells_active_crown,0.00933333333333333,pass2b
canopy_mortality_mean,0.0906666666666667,pass2b
cells_per_fire_day_median,3,pass2b
cells_per_fire_day_p90,47,pass2b
burn_hours_median,4.7,pass2b
ignition_fwi_median,18.6,pass2b
end_weather,0.4,pass2b
end_fuel_limited,0,pass2b
end_season_end,0,pass2b
