statistic,observed,ember,ratio,label
fires_per_year,0.665466381853321,0.125,0.187838188988414,pass2b
lightning_fires_per_year,0.245861963738911,0.075,0.305049218917184,pass2b
fire_size_median,1,3,3,pass2b
fire_size_p90,1,68.4,68.4,pass2b
fraction_fires_gt10,0.0295566502463054,0.2,6.76666666666667,pass2b
fraction_fires_gt100,0.0167487684729064,0.2,11.9411764705882,pass2b
annual_fraction_burned_fpa,0.00255391986643236,0.000320992938155361,0.125686378172767,pass2b
annual_fraction_burned_mtbs,0.003639630975609,0.000320992938155361,0.0881938142373488,pass2b
ignition_doy_median,221,242,1.09502262443439,pass2b
ignition_doy_p10,176,167.4,0.951136363636363,pass2b
ignition_doy_p90,265,273.4,1.03169811320755,pass2b
fraction_area_high_severity_mtbs,0.418807906637985,0.00933333333333333,0.0222854754779045,pass2b
