EventID,SimulationYear,Day,FWI,BurnHours,CellsBurned,CumulativeAreaHa,MaxRos,MaxIntensity,Suppressed,seed
1,1,242,18.6,4.5,3,2.4,0.83,93,no,3333
2,2,219,18.9,4.7,1,0.8,0,0,no,3333
3,18,133,2.4,0,1,0.8,0,0,no,3333
4,35,291,29.2,10.2,8,6.5,2.01,177,no,3333
4,35,292,33.5,12.5,27,28.4,3.4,532,yes,3333
4,35,293,41.2,16,77,90.7,14.58,17787,yes,3333
5,38,247,16,3.2,3,2.4,1.9,292,no,3333
6,41,216,34.5,13.1,13,10.5,1.27,265,no,4444
6,41,217,28.5,9.9,26,31.6,1.7,435,yes,4444
6,41,218,24.8,7.9,21,48.6,1.43,399,yes,4444
6,41,219,25.8,8.4,27,70.5,1.62,431,yes,4444
6,41,220,24.6,7.7,25,90.7,1.6,474,yes,4444
6,41,221,23.5,7.1,14,102.1,1.49,236,yes,4444
6,41,222,26.9,9,22,119.9,2.76,534,yes,4444
6,41,223,30.4,10.9,25,140.1,2.48,422,yes,4444
6,41,224,27.5,9.3,22,158,1.92,323,yes,4444
7,42,254,17.7,4.1,3,2.4,1.16,134,no,4444
8,43,286,24.8,7.9,5,4.1,1.85,173,no,4444
8,43,287,28.5,9.8,8,10.5,2.24,228,yes,4444
8,43,288,40.7,16,29,34,3.38,432,yes,4444
8,43,289,34.9,13.3,25,54.3,1.8,175,yes,4444
8,43,290,30.8,11,19,69.7,2.97,474,yes,4444
8,43,291,26.7,8.9,10,77.8,1.67,155,yes,4444
8,43,292,28.1,9.6,11,86.7,2.74,660,yes,4444
8,43,293,41.1,16,16,99.6,2.69,725,yes,4444
8,43,294,22.8,6.8,2,101.3,0.86,78,yes,4444
9,55,226,24.3,7.6,1,0.8,0,0,no,4444
10,62,211,34.1,12.9,40,32.4,6.62,994,no,4444
11,65,267,17.7,4.1,3,2.4,2.03,164,no,4444
12,93,197,14.9,2.5,1,0.8,0,0,no,5555
13,95,239,19.4,5,1,0.8,0,0,no,5555
14,102,237,20.8,5.7,4,3.2,2.38,318,no,5555
14,102,238,21.9,6.3,3,5.7,1.09,96,yes,5555
15,104,214,3.9,0,1,0.8,0,0,no,5555
16,114,96,3.2,0,1,0.8,0,0,no,5555
17,118,269,27.4,9.2,9,7.3,1.19,339,no,5555
17,118,270,29.6,10.4,4,10.5,1.13,96,yes,5555
18,119,242,6,0,1,0.8,0,0,no,5555
19,126,250,8,0,1,0.8,0,0,no,6666
20,126,255,10.8,0,1,0.8,0,0,no,6666
21,130,227,14.6,2.4,1,0.8,0,0,no,6666
22,142,269,10.6,0,1,0.8,0,0,no,6666
23,145,260,27.6,9.4,4,3.2,0.73,106,no,6666
24,147,232,26,8.5,35,28.4,3.43,825,no,6666
24,147,233,31.8,11.6,41,61.6,4.44,784,yes,6666
24,147,234,20.9,5.7,47,99.6,4.01,1294,yes,6666
24,147,235,19.5,5,31,124.7,2.19,905,yes,6666
24,147,236,21.5,6.1,30,149,3.05,596,yes,6666
24,147,237,20.9,5.8,23,167.7,3.15,1412,yes,6666
24,147,238,20.8,5.7,27,189.5,2.99,1319,yes,6666
24,147,239,25.4,8.2,22,207.4,2.52,837,yes,6666
24,147,240,29,10.1,37,237.3,13.4,15329,yes,6666
25,150,211,16.6,3.5,1,0.8,0,0,no,6666
26,151,214,13.8,2,1,0.8,0,0,no,6666
27,158,244,31.9,11.6,14,11.3,4.8,669,no,6666
28,159,135,4,0,1,0.8,0,0,no,6666
