SimulationYear,Day,FireDanger,LightningAttempts,LightningFires,AccidentalAttempts,AccidentalFires,ActiveFires,seed
1,242,16.3,1,1,0,0,0,3333
2,219,15.6,1,1,0,0,1,3333
4,254,13.2,0,0,1,0,0,3333
5,187,2.3,0,0,1,0,0,3333
5,245,7.6,0,0,1,0,0,3333
8,239,24.4,0,0,1,0,0,3333
12,190,8.3,0,0,1,0,0,3333
15,221,16.4,1,0,0,0,0,3333
18,133,2.1,0,0,1,1,0,3333
20,119,0.3,0,0,1,0,0,3333
25,172,0.4,0,0,1,0,0,3333
27,219,7.9,0,0,1,0,0,3333
28,69,0.3,0,0,1,0,0,3333
31,70,0,0,0,1,0,0,3333
31,175,4.6,0,0,1,0,0,3333
31,258,23.4,0,0,1,0,0,3333
35,291,26.4,0,0,1,1,1,3333
35,292,28.9,0,0,0,0,1,3333
35,293,42.8,0,0,0,0,1,3333
35,294,25.3,0,0,0,0,1,3333
36,173,5.2,0,0,1,0,0,3333
38,247,15.4,1,1,0,0,0,3333
38,285,29,0,0,1,0,0,3333
41,216,34.9,1,1,0,0,1,4444
41,217,29.4,0,0,0,0,1,4444
41,218,26.3,0,0,0,0,1,4444
41,219,27.7,0,0,0,0,1,4444
41,220,26.5,0,0,0,0,1,4444
41,221,24.7,0,0,0,0,1,4444
41,222,27.7,0,0,0,0,1,4444
41,223,31.6,0,0,0,0,1,4444
41,224,29,0,0,0,0,1,4444
41,225,10.7,0,0,0,0,1,4444
41,310,0,0,0,1,0,0,4444
42,254,13.3,0,0,1,1,0,4444
43,29,2.5,0,0,1,0,0,4444
43,286,24.8,0,0,1,1,1,4444
43,287,28.6,0,0,0,0,1,4444
43,288,41.1,0,0,0,0,1,4444
43,289,33.1,0,0,0,0,1,4444
43,290,29.7,0,0,0,0,1,4444
43,291,26.4,0,0,0,0,1,4444
43,292,28.9,0,0,0,0,1,4444
43,293,42.8,0,0,0,0,1,4444
43,294,25.3,0,0,0,0,1,4444
43,295,0.2,0,0,0,0,1,4444
44,187,1.8,0,0,1,0,0,4444
46,96,0.4,0,0,1,0,0,4444
46,308,0,1,0,0,0,0,4444
47,292,0,0,0,1,0,0,4444
48,63,0,0,0,1,0,0,4444
50,136,0,0,0,1,0,0,4444
52,317,0,1,0,0,0,0,4444
54,121,0.1,0,0,1,0,0,4444
54,149,7.3,0,0,1,0,0,4444
55,226,19.7,0,0,1,1,0,4444
55,275,0,0,0,1,0,0,4444
58,228,20.4,0,0,1,0,0,4444
60,345,0,0,0,1,0,0,4444
62,211,32.3,0,0,1,1,0,4444
65,9,0,0,0,1,0,0,4444
65,267,15.7,0,0,1,1,0,4444
68,149,0.1,0,0,1,0,0,4444
71,21,0,0,0,1,0,0,4444
71,295,0,0,0,1,0,0,4444
72,313,0.3,0,0,1,0,0,4444
74,96,0,0,0,1,0,0,4444
78,46,0,0,0,1,0,0,4444
78,293,1.3,0,0,1,0,0,4444
80,276,0,1,0,0,0,0,4444
83,19,0,0,0,1,0,0,5555
83,182,4.8,0,0,1,0,0,5555
84,17,0,0,0,1,0,0,5555
84,233,27,0,0,1,0,0,5555
85,249,35.8,1,0,0,0,0,5555
85,283,2.9,0,0,1,0,0,5555
89,241,11.3,0,0,1,0,0,5555
93,197,15.4,0,0,1,1,0,5555
95,239,24.4,1,1,0,0,0,5555
101,218,8.1,0,0,1,0,0,5555
102,237,20.4,0,0,1,1,1,5555
104,214,6.1,0,0,1,1,0,5555
107,57,0.2,0,0,1,0,0,5555
108,36,0,0,0,1,0,0,5555
108,190,3.5,0,0,1,0,0,5555
111,85,0,0,0,1,0,0,5555
114,96,3.1,0,0,1,1,0,5555
115,191,9.6,0,0,1,0,0,5555
116,233,19.9,0,0,1,0,0,5555
117,2,3.5,0,0,1,0,0,5555
117,272,0,1,0,0,0,0,5555
118,171,0.1,1,0,0,0,0,5555
118,269,27.2,0,0,1,1,1,5555
119,242,4.8,0,0,1,1,0,5555
119,303,0,0,0,1,0,0,5555
126,250,7.8,0,0,1,1,0,6666
126,255,12.5,0,0,1,1,1,6666
129,271,0,0,0,1,0,0,6666
130,227,14.1,1,1,0,0,1,6666
133,280,1.7,0,0,1,0,0,6666
134,169,0,0,0,1,0,0,6666
138,342,0.7,0,0,1,0,0,6666
139,97,0,1,0,0,0,0,6666
142,269,10.9,1,1,0,0,0,6666
144,341,0,0,0,1,0,0,6666
145,252,13.1,0,0,1,0,0,6666
145,260,25.4,0,0,1,1,0,6666
147,174,13,0,0,1,0,0,6666
147,206,8.8,0,0,1,0,0,6666
147,232,22.2,0,0,1,1,1,6666
147,233,26.4,0,0,0,0,1,6666
147,234,18.2,0,0,0,0,1,6666
147,235,17.9,0,0,0,0,1,6666
147,236,19.6,0,0,0,0,1,6666
147,237,18.8,0,0,0,0,1,6666
147,238,18.6,0,0,0,0,1,6666
147,239,22.3,0,0,0,0,1,6666
147,240,23.8,0,0,0,0,1,6666
147,241,11.3,0,0,0,0,1,6666
150,211,18,0,0,1,1,0,6666
151,214,15.5,0,0,1,1,0,6666
158,201,23.5,0,0,1,0,0,6666
158,244,30.3,1,1,0,0,0,6666
158,350,0,1,0,0,0,0,6666
159,135,3.7,0,0,1,1,0,6666
159,363,0,0,0,1,0,0,6666
