EventID,SimulationYear,CalendarYear,Cause,IgnitionDay,IgnitionRow,IgnitionColumn,Ecoregion,IgnitionFWI,DaysActive,EndDay,EndReason,Cells,AreaHa,MeanRos,MaxRos,MeanIntensity,MaxIntensity,MaxFlameLength,FractionSurface,FractionPassive,FractionActive,MeanCanopyMortality,FractionHighSeverity,CohortsKilled,CohortsPartial,BiomassKilledMg,ConsumptionMg,SurfaceConsumptionMg,DuffConsumptionMg,CanopyConsumptionMg,PM25Mg,CO2Mg,PeakDay,PeakDayFWI,seed
1,1,2020,Lightning,242,422,391,eco16,18.6,22,263,Weather,2928,2371.7,3.33,36.99,2078,81156,49.9,0.41,0.58,0.01,0.28,0.19,7128,32068,87154.8,139491.4,103943.4,26065.9,9482.1,3026.29,208371.9,261,23.8,3333
2,2,2020,Accidental,186,336,391,eco39,4.9,1,186,InitialAttack,1,0.8,0.85,0.85,184,184,0.9,1,0,0,0.06,0,0,21,22.2,21.4,21.4,0,0,0.46,32.1,0,0,3333
3,4,2020,Accidental,180,341,385,eco14,0.4,1,180,Unsustained,1,0.8,0,0,0,0,0,1,0,0,0.01,0,0,13,2.7,25,25,0,0,0.51,37.8,0,0,3333
4,4,2020,Accidental,230,368,424,eco16,5.7,1,230,Unsustained,1,0.8,0,0,0,0,0,1,0,0,0,0,0,5,0.6,34.1,29.2,5,0,0.8,50,0,0,3333
5,4,2020,Accidental,248,380,420,eco16,23.1,1,248,InitialAttack,1,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0,34,24.3,9.8,0,0.85,48.8,0,0,3333
6,5,2020,Accidental,351,408,412,eco16,1.7,1,351,InitialAttack,1,0.8,0.28,0.28,27,27,0.4,0,1,0,0.05,0,0,16,6.2,8.8,8.2,0,0.6,0.17,13.4,0,0,3333
7,6,2020,Accidental,22,377,410,eco100,0.1,1,22,Unsustained,1,0.8,0,0,0,0,0,1,0,0,0.16,0,0,13,9.3,13.2,13.2,0,0,0.32,19.1,0,0,3333
8,7,2020,Accidental,97,358,360,eco100,0,1,97,Unsustained,1,0.8,0,0,0,0,0,1,0,0,0.11,0,0,12,14.9,20.1,20.1,0,0,0.46,29.6,0,0,3333
9,12,2020,Accidental,37,412,423,eco16,0,1,37,Unsustained,1,0.8,0,0,0,0,0,1,0,0,0.05,0,0,27,17.5,22.3,22.3,0,0,0.43,34.3,0,0,3333
10,14,2020,Accidental,212,424,437,eco106,27,6,217,Weather,146,118.3,4.13,11.85,2730,17895,18.2,0.08,0.91,0.01,0.53,0.52,375,1895,8652.8,5259.9,3388.6,568.2,1303,105.73,8000.9,215,31.8,3333
11,14,2020,Accidental,230,366,437,eco100,17.6,9,238,Weather,245,198.5,5.78,21.52,5503,39196,30.7,0.01,0.93,0.06,0.69,0.69,1526,2440,26946.4,14689.5,8713.5,2746.3,3229.6,308.5,22117.9,236,30.9,3333
12,15,2020,Accidental,302,373,395,eco17,1,1,302,Unsustained,1,0.8,0,0,0,0,0,1,0,0,0.06,0,0,18,14.1,23.3,23.3,0,0,0.49,35,0,0,3333
13,17,2020,Lightning,147,433,431,eco100,0.3,1,147,Unsustained,1,0.8,0,0,0,0,0,1,0,0,0.11,0,0,14,2.1,10.4,10.4,0,0,0.26,14.9,0,0,3333
14,17,2020,Accidental,207,341,409,eco12,13.2,1,207,InitialAttack,2,1.6,2.14,2.77,1953,2704,2.9,0,1,0,0.31,0,3,45,196.1,97.1,65.6,0,31.5,1.74,151.2,207,13.2,3333
15,24,2020,Accidental,6,377,410,eco100,0,1,6,Unsustained,1,0.8,0,0,0,0,0,1,0,0,0.14,0,0,13,17.1,15.1,15.1,0,0,0.32,22.7,0,0,3333
16,25,2020,Accidental,321,347,413,eco14,0.3,1,321,Unsustained,1,0.8,0,0,0,0,0,1,0,0,0.04,0,0,9,9.4,17.3,17.3,0,0,0.36,26.1,0,0,3333
17,27,2020,Accidental,157,385,377,eco20,13.6,5,161,Weather,8,6.5,3.95,5.94,4151,8601,5,0,1,0,0.68,0.38,66,104,1330.8,379.3,232.8,0,146.5,6.68,593.2,159,14.9,3333
18,31,2020,Lightning,239,387,427,eco100,8.4,1,239,Unsustained,1,0.8,0,0,0,0,0,1,0,0,0.1,0,0,14,23.4,35.3,33.4,1.9,0,0.78,52.4,0,0,3333
19,34,2020,Accidental,175,371,421,eco109,5.4,1,175,InitialAttack,1,0.8,1.21,1.21,837,837,1.7,0,1,0,0.1,0,0,43,33.8,47.3,38.8,0,8.5,0.92,72.5,0,0,3333
20,34,2020,Accidental,321,354,346,eco131,0,1,321,Unsustained,1,0.8,0,0,0,0,0,1,0,0,0.08,0,0,14,10.7,11.2,11.2,0,0,0.24,16.9,0,0,3333
21,35,2020,Accidental,178,403,380,eco164,9.3,1,178,InitialAttack,1,0.8,8.01,8.01,10198,10198,5.4,0,1,0,0.95,1,12,9,197.2,53.8,27.6,0,26.2,0.88,85.2,0,0,3333
22,35,2020,Accidental,288,346,433,eco14,40.7,9,296,Weather,3852,3120.1,5.28,47.05,6834,80469,49.6,0.11,0.81,0.09,0.46,0.43,22042,64075,540877,343079.3,211101.4,80686.8,51291.1,7454.02,512304.8,294,22.8,3333
