statistic,value_scf,value_ember,ratio,label
years,80,40,0.5,pass4_s4444
active_cells,9346,9346,1,pass4_s4444
cells_per_year_mean,78.2125,204.1,2.60955729582867,pass4_s4444
cells_per_year_median,0,1,Inf,pass4_s4444
cells_per_year_p90,59.8000000000002,4.90000000000003,0.0819397993311038,pass4_s4444
cells_per_year_max,1328,7173,5.40135542168675,pass4_s4444
fraction_years_with_fire,0.3875,0.55,1.41935483870968,pass4_s4444
annual_fraction_burned,0.00836855339182538,0.0218382195591697,2.60955729582867,pass4_s4444
rotation_years,119.494965638485,45.7912787849094,0.383206761391474,pass4_s4444
fires_per_year,0.4875,0.7,1.43589743589744,pass4_s4444
fire_size_median,12,1,0.0833333333333333,pass4_s4444
fire_size_p90,621.400000000001,383.6,0.61731573865465,pass4_s4444
fire_size_max,1283,6102,4.7560405300078,pass4_s4444
fraction_fires_gt10,0.512820512820513,0.178571428571429,0.348214285714286,pass4_s4444
fraction_fires_gt100,0.17948717948718,0.142857142857143,0.795918367346937,pass4_s4444
