EventID,SimulationYear,CalendarYear,Cause,IgnitionDay,IgnitionRow,IgnitionColumn,Ecoregion,IgnitionFWI,DaysActive,EndDay,EndReason,Cells,AreaHa,MeanRos,MaxRos,MeanIntensity,MaxIntensity,MaxFlameLength,FractionSurface,FractionPassive,FractionActive,MeanCanopyMortality,FractionHighSeverity,CohortsKilled,CohortsPartial,BiomassKilledMg,ConsumptionMg,SurfaceConsumptionMg,DuffConsumptionMg,CanopyConsumptionMg,PM25Mg,CO2Mg,PeakDay,PeakDayFWI,
1, 6, 1991, Accidental, 250, 345, 421, eco14, 8, 1, 250, InitialAttack, 1, 0.8, 0.49, 0.49, 173, 173, 0.8, 1, 0, 0, 0.02, 0, 1, 19, 7.8, 33.5, 33.5, 0, 0, 0.7, 50.4, 0, 0, 
2, 6, 1991, Accidental, 255, 329, 370, eco45, 10.8, 2, 256, Weather, 1, 0.8, 3.77, 3.77, 3241, 3241, 3.2, 0, 1, 0, 0.37, 0, 1, 15, 74.9, 40.8, 24.2, 0, 16.6, 0.72, 63.7, 0, 0, 
3, 15, 1991, Accidental, 84, 433, 393, eco16, 0, 1, 84, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.01, 0, 0, 16, 5.5, 30.2, 30.2, 0, 0, 0.61, 45.9, 0, 0, 
4, 15, 1991, Accidental, 152, 338, 410, eco39, 0, 1, 152, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.09, 0, 0, 30, 28, 26.4, 26.4, 0, 0, 0.56, 39.7, 0, 0, 
5, 17, 1991, Accidental, 75, 415, 400, eco164, 0, 1, 75, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.25, 0, 0, 5, 5.8, 9.2, 9.2, 0, 0, 0.23, 13.2, 0, 0, 
6, 17, 1991, Accidental, 229, 360, 381, eco100, 34.8, 3, 231, Weather, 131, 106.1, 5.32, 16.72, 5753, 31528, 26.5, 0, 0.92, 0.08, 0.77, 0.88, 638, 1797, 17910.9, 7408.3, 4158.7, 829.6, 2420.1, 144.6, 11343, 229, 34.8, 
7, 18, 1991, Accidental, 44, 387, 423, eco100, 0.1, 1, 44, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.13, 0, 0, 20, 26.4, 22.2, 22.2, 0, 0, 0.48, 33.1, 0, 0, 
8, 18, 1991, Lightning, 324, 408, 417, eco110, 0, 1, 324, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.11, 0, 0, 20, 19.6, 21.1, 21.1, 0, 0, 0.45, 31.7, 0, 0, 
9, 24, 1991, Accidental, 234, 379, 368, eco17, 21.7, 6, 239, Weather, 215, 174.2, 2.3, 7.64, 2331, 8339, 4.9, 0.13, 0.87, 0, 0.41, 0.29, 939, 4429, 21260.2, 14805.2, 9718.4, 2566.5, 2520.4, 312.14, 22271.4, 237, 20.6, 
10, 28, 1991, Accidental, 300, 420, 400, eco164, 0, 1, 300, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.15, 0, 0, 7, 18.6, 15.3, 15.3, 0, 0, 0.34, 22.8, 0, 0, 
11, 30, 1991, Accidental, 219, 373, 407, eco100, 17.6, 3, 221, Weather, 2, 1.6, 2.33, 2.48, 2598, 2838, 3, 0, 1, 0, 0.86, 1, 2, 29, 426, 109.4, 66.2, 0, 43.2, 1.97, 170.4, 219, 17.6, 
12, 31, 1991, Accidental, 101, 419, 414, eco100, 0, 1, 101, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.06, 0, 0, 38, 22, 34.8, 34.8, 0, 0, 0.71, 52.8, 0, 0, 
13, 36, 1991, Accidental, 235, 366, 395, eco14, 12.3, 1, 235, InitialAttack, 1, 0.8, 0.55, 0.55, 293, 293, 1.1, 1, 0, 0, 0.01, 0, 1, 19, 7.5, 59.3, 54, 5.3, 0, 1.34, 87.7, 0, 0, 
14, 38, 1991, Lightning, 245, 407, 414, eco16, 32.9, 1, 245, InitialAttack, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.35, 0, 0, 1, 2.7, 12.1, 8.9, 3.2, 0, 0.31, 17.3, 0, 0, 
15, 38, 1991, Accidental, 276, 366, 382, eco100, 18.4, 1, 276, InitialAttack, 1, 0.8, 0.11, 0.11, 48, 48, 0.5, 1, 0, 0, 0.05, 0, 0, 5, 0.7, 40.4, 36.7, 3.7, 0, 1.04, 57.5, 0, 0, 
