statistic,value,label
ignition_attempts_per_year,0.725,pass5_pooled
fires_per_attempt,0.991379310344828,pass5_pooled
days_active_median,1,pass5_pooled
days_active_p90,3,pass5_pooled
days_active_max,17,pass5_pooled
mean_ros_median_m_min,0.74,pass5_pooled
max_ros_p90_m_min,16.904,pass5_pooled
mean_intensity_median_kW_m,459,pass5_pooled
max_intensity_p90_kW_m,26795.6000000001,pass5_pooled
fraction_cells_passive_crown,0.84958993596792,pass5_pooled
fraction_cells_active_crown,0.0409359032404113,pass5_pooled
canopy_mortality_mean,0.499023995860553,pass5_pooled
cells_per_fire_day_median,7,pass5_pooled
cells_per_fire_day_p90,263.6,pass5_pooled
burn_hours_median,5.6,pass5_pooled
ignition_fwi_median,14.5,pass5_pooled
end_weather,0.0608695652173913,pass5_pooled
end_fuel_limited,0,pass5_pooled
end_season_end,0,pass5_pooled
