SimulationYear,Day,FireDanger,LightningAttempts,LightningFires,AccidentalAttempts,AccidentalFires,ActiveFires,
1, 242, 38.2, 0, 0, 1, 1, 1, 
5, 193, 0, 1, 1, 0, 0, 0, 
8, 180, 19.1, 0, 0, 1, 1, 1, 
8, 181, 20.5, 0, 0, 0, 0, 1, 
8, 234, 29.1, 1, 1, 0, 0, 1, 
16, 264, 9.1, 0, 0, 1, 1, 0, 
17, 212, 16.9, 1, 1, 0, 0, 0, 
17, 221, 9.6, 0, 0, 1, 1, 0, 
17, 260, 21.6, 0, 0, 1, 1, 0, 
17, 276, 6, 0, 0, 1, 1, 0, 
21, 236, 6.5, 0, 0, 1, 1, 0, 
25, 241, 20.9, 0, 0, 1, 1, 0, 
28, 201, 4.4, 0, 0, 1, 1, 0, 
28, 233, 16.1, 0, 0, 1, 1, 0, 
28, 262, 23.6, 1, 1, 0, 0, 1, 
29, 200, 20.1, 0, 0, 1, 1, 0, 
29, 303, 0, 0, 0, 1, 1, 0, 
30, 187, 0.7, 1, 1, 0, 0, 0, 
31, 264, 22.7, 0, 0, 1, 1, 0, 
34, 270, 0.1, 1, 1, 0, 0, 0, 
37, 241, 12.7, 0, 0, 1, 1, 0, 
40, 295, 3.5, 0, 0, 1, 1, 0, 
