statistic,value,label
ignition_attempts_per_year,0.65,pass6_s5555
fires_per_attempt,1,pass6_s5555
days_active_median,1,pass6_s5555
days_active_p90,2,pass6_s5555
days_active_max,8,pass6_s5555
mean_ros_median_m_min,0.235,pass6_s5555
max_ros_p90_m_min,11.85,pass6_s5555
mean_intensity_median_kW_m,60,pass6_s5555
max_intensity_p90_kW_m,19428.5,pass6_s5555
fraction_cells_passive_crown,0.885746084089036,pass6_s5555
fraction_cells_active_crown,0.00444352844187964,pass6_s5555
canopy_mortality_mean,0.448944765045342,pass6_s5555
cells_per_fire_day_median,1,pass6_s5555
cells_per_fire_day_p90,237.2,pass6_s5555
burn_hours_median,3.7,pass6_s5555
ignition_fwi_median,12.9,pass6_s5555
end_weather,0,pass6_s5555
end_fuel_limited,0,pass6_s5555
end_season_end,0,pass6_s5555
