EventID,SimulationYear,Day,FWI,BurnHours,CellsBurned,CumulativeAreaHa,MaxRos,MaxIntensity,Suppressed,
1, 3, 207, 16.9, 3.7, 9, 7.3, 4.54, 2154, no, 
2, 3, 281, 5, 0, 1, 0.8, 0, 0, no, 
3, 5, 249, 39.7, 15.8, 230, 186.3, 26.57, 29454, no, 
3, 5, 250, 31.4, 11.4, 86, 256, 12.38, 8591, yes, 
3, 5, 251, 30.6, 11, 242, 452, 10.54, 11508, yes, 
3, 5, 252, 36.3, 14, 896, 1177.7, 15.6, 15390, yes, 
3, 5, 253, 18.1, 4.3, 18, 1192.3, 2.14, 1701, yes, 
3, 5, 254, 19.4, 5, 37, 1222.3, 3.71, 1389, yes, 
3, 5, 255, 26.8, 8.9, 397, 1543.9, 7.51, 7856, yes, 
3, 5, 256, 36.6, 14.2, 1399, 2677.1, 15.79, 19909, yes, 
4, 6, 261, 0.8, 0, 1, 0.8, 0, 0, no, 
5, 9, 191, 3.3, 0, 1, 0.8, 0, 0, no, 
6, 9, 205, 7.9, 0, 1, 0.8, 0, 0, no, 
7, 11, 304, 0, 0, 1, 0.8, 0, 0, no, 
8, 12, 172, 0.2, 0, 1, 0.8, 0, 0, no, 
9, 15, 148, 0.1, 0, 1, 0.8, 0, 0, no, 
10, 17, 234, 15.3, 2.8, 1, 0.8, 0, 0, no, 
11, 18, 175, 13.4, 1.8, 1, 0.8, 0, 0, no, 
12, 18, 199, 15.3, 2.8, 1, 0.8, 0, 0, no, 
13, 19, 228, 21.7, 6.2, 1, 0.8, 0, 0, no, 
14, 19, 229, 27.2, 9.2, 69, 55.9, 18.59, 40821, no, 
14, 19, 230, 19.3, 4.9, 35, 84.2, 3.4, 2838, yes, 
14, 19, 231, 20.7, 5.6, 75, 145, 3.89, 3754, yes, 
15, 20, 182, 1.7, 0, 1, 0.8, 0, 0, no, 
16, 21, 182, 7.7, 0, 1, 0.8, 0, 0, no, 
17, 22, 169, 0.1, 0, 1, 0.8, 0, 0, no, 
18, 23, 213, 12.4, 1.2, 4, 3.2, 6.09, 9403, no, 
19, 23, 241, 22.5, 6.6, 1, 0.8, 0, 0, no, 
20, 26, 290, 14.3, 2.2, 2, 1.6, 2.15, 1042, no, 
21, 31, 189, 19.2, 4.9, 1, 0.8, 0, 0, no, 
22, 31, 223, 17.9, 4.1, 13, 10.5, 2.74, 4166, no, 
23, 34, 183, 2.1, 0, 1, 0.8, 0, 0, no, 
24, 38, 261, 9, 0, 1, 0.8, 0, 0, no, 
25, 38, 271, 33.5, 12.5, 108, 87.5, 17.61, 36153, no, 
26, 40, 280, 22.4, 6.6, 1, 0.8, 0, 0, no, 
