statistic,observed,ember,ratio,label
fires_per_year,0.665466381853321,0.65,0.976758582739751,pass6_s5555
lightning_fires_per_year,0.245861963738911,0.25,1.01683072972395,pass6_s5555
fire_size_median,1,1,1,pass6_s5555
fire_size_p90,1,60.5,60.5,pass6_s5555
fraction_fires_gt10,0.0295566502463054,0.153846153846154,5.20512820512821,pass6_s5555
fraction_fires_gt100,0.0167487684729064,0.115384615384615,6.88914027149322,pass6_s5555
annual_fraction_burned_fpa,0.00255391986643236,0.00973411084956131,3.81143941808916,pass6_s5555
annual_fraction_burned_mtbs,0.003639630975609,0.00973411084956131,2.6744774167476,pass6_s5555
ignition_doy_median,221,218,0.986425339366516,pass6_s5555
ignition_doy_p10,176,173.5,0.985795454545455,pass6_s5555
ignition_doy_p90,265,280.5,1.05849056603774,pass6_s5555
fraction_area_high_severity_mtbs,0.418807906637985,0.417570761198131,0.997046031318308,pass6_s5555
