statistic,value,label
ignition_attempts_per_year,0.333333333333333,smoke4
fires_per_attempt,1,smoke4
days_active_median,5,smoke4
days_active_p90,5,smoke4
days_active_max,5,smoke4
mean_ros_median_m_min,7.91,smoke4
max_ros_p90_m_min,38.95,smoke4
mean_intensity_median_kW_m,7187,smoke4
max_intensity_p90_kW_m,57379,smoke4
fraction_cells_passive_crown,0.83,smoke4
fraction_cells_active_crown,0.08,smoke4
canopy_mortality_mean,0.66,smoke4
cells_per_fire_day_median,30,smoke4
cells_per_fire_day_p90,509.1,smoke4
burn_hours_median,7.7,smoke4
ignition_fwi_median,19,smoke4
end_weather,0,smoke4
end_fuel_limited,0,smoke4
end_season_end,0,smoke4
