statistic,observed,ember,ratio,label
fires_per_year,0.665466381853321,0.333333333333333,0.500901837302436,smoke4
lightning_fires_per_year,0.245861963738911,0,0,smoke4
fire_size_median,1,773,773,smoke4
fire_size_p90,1,773,773,smoke4
fraction_fires_gt10,0.0295566502463054,1,33.8333333333334,smoke4
fraction_fires_gt100,0.0167487684729064,1,59.7058823529412,smoke4
annual_fraction_burned_fpa,0.00255391986643236,0.0275697267993438,10.7950633697277,smoke4
annual_fraction_burned_mtbs,0.003639630975609,0.0275697267993438,7.57486871171896,smoke4
ignition_doy_median,221,227,1.02714932126697,smoke4
ignition_doy_p10,176,227,1.28977272727273,smoke4
ignition_doy_p90,265,227,0.856603773584906,smoke4
fraction_area_high_severity_mtbs,0.418807906637985,0.65,1.55202418506835,smoke4
