statistic,value_scf,value_ember,ratio,label
years,80,3,0.0375,smoke4
active_cells,9346,9346,1,smoke4
cells_per_year_mean,78.2125,257.666666666667,3.29444355655,smoke4
cells_per_year_median,0,0,,smoke4
cells_per_year_p90,59.8000000000002,618.4,10.3411371237458,smoke4
cells_per_year_max,1328,773,0.582078313253012,smoke4
fraction_years_with_fire,0.3875,0.333333333333333,0.860215053763441,smoke4
annual_fraction_burned,0.00836855339182538,0.0275697267993438,3.29444355655,smoke4
rotation_years,119.494965638485,36.2716688227684,0.303541397153945,smoke4
fires_per_year,0.4875,0.333333333333333,0.683760683760684,smoke4
fire_size_median,12,773,64.4166666666667,smoke4
fire_size_p90,621.400000000001,773,1.24396523978114,smoke4
fire_size_max,1283,773,0.602494154325799,smoke4
fraction_fires_gt10,0.512820512820513,1,1.95,smoke4
fraction_fires_gt100,0.17948717948718,1,5.57142857142856,smoke4
