statistic,observed,SCF,pass1,pass2a,pass2b,pass3_pooled,pass4_pooled,pass5_pooled,pass6_pooled
obs:annual_fraction_burned_fpa,0.00255391986643236,,0.0317274769955061,0.00455007489835224,0.000320992938155361,0.000555050288893644,0.0165184303445324,0.0103393162850417,0.0043822223411085
obs:annual_fraction_burned_mtbs,0.003639630975609,,0.0317274769955061,0.00455007489835224,0.000320992938155361,0.000555050288893644,0.0165184303445324,0.0103393162850417,0.0043822223411085
obs:fires_per_year,0.665466381853321,,0.275,0.225,0.125,0.175,0.5375,0.71875,0.5375
obs:fraction_area_high_severity_mtbs,0.418807906637985,,0.00150577522974454,0,0.00933333333333333,0.00134939759036145,0.359487065301,0.448472931893151,0.465934686403174
obs:fraction_fires_gt10,0.0295566502463054,,0.818181818181818,0.333333333333333,0.2,0.25,0.162790697674419,0.260869565217391,0.209302325581395
obs:fraction_fires_gt100,0.0167487684729064,,0.727272727272727,0.333333333333333,0.2,0.142857142857143,0.151162790697674,0.147826086956522,0.127906976744186
obs:ignition_doy_median,221,,242,215,242,238,224,230,233
diag:canopy_mortality_mean,,,0.0715892420537898,0.0720340975896532,0.0906666666666667,0.0720963855421687,0.408419902028258,0.499023995860553,0.501913627346254
diag:cells_per_fire_day_median,,,57,12,3,9.5,19,7,1
diag:days_active_median,,,10,4,1,1,1,1,1
diag:days_active_p90,,,22,25,3.8,6.8,9,3,2
diag:fires_per_attempt,,,0.458333333333333,0.290322580645161,0.25,0.291666666666667,0.977272727272727,0.991379310344828,1
diag:fraction_cells_active_crown,,,0.00150577522974454,0,0.00933333333333333,0.00134939759036145,0.0287393222946439,0.0409359032404113,0.0232794140088509
diag:max_intensity_p90_kW_m,,,43008,7327.19999999999,10789,805.7,33228,26795.6000000001,31076
diag:mean_ros_median_m_min,,,1.79,0.9,0.91,0.885,0,0.74,0.635
annual_fraction_burned,,0.00836855339182538,0.0317274769955061,0.00455007489835224,0.000320992938155361,0.000555050288893644,0.0165184303445324,0.0103393162850417,0.0043822223411085
cells_per_year_max,,1328,6177,952,112,293,7173,3732,3305
cells_per_year_mean,,78.2125,296.525,42.525,3,5.1875,154.38125,96.63125,40.95625
fire_size_max,,1283,6177,952,112,293,6102,3729,3305
fire_size_median,,12,256,5,3,1,1,1,1
fire_size_p90,,621.400000000001,1712,662.4,68.4,115.9,246.5,210.2,143.5
fires_per_year,,0.4875,0.275,0.225,0.125,0.175,0.5375,0.71875,0.5375
fraction_fires_gt10,,0.512820512820513,0.818181818181818,0.333333333333333,0.2,0.25,0.162790697674419,0.260869565217391,0.209302325581395
fraction_fires_gt100,,0.17948717948718,0.727272727272727,0.333333333333333,0.2,0.142857142857143,0.151162790697674,0.147826086956522,0.127906976744186
rotation_years,,119.494965638485,31.5184217182362,219.776601998824,3115.33333333333,1801.63855421687,60.5384397392818,96.718194165966,228.194719975584
